Name,Operator,Type,Pipeline,Status,States,Regions,Authority,Docket,Updated,Completed,Year,Cost,Miles,Capacity,Diameter
TGT Greenville Lateral Expansion,Texas Gas Transmission Co,Expansion,Interstate,Completed,MS,Southeast,FERC,CP08-467,7/8/10,2010,2010,162,,232,
Bi-directional Pipeline Conversion,Midwestern Gas Transmission Co,Expansion,Interstate,Completed,IL,Midwest,FERC,CP08-436,3/31/11,2010,2010,2,,75,
Bi-directional Pipeline Conversion,Midwestern Gas Transmission Co,Expansion,Interstate,Completed,IN,Midwest,FERC,CP08-436,3/31/11,2010,2010,2,,75,
Eshore Parkesburg Expansion,Eastern Shore Parkesburg Line,Expansion,Interstate,Completed,PA,Northeast,FERC,CP10-76,5/10/10,2010,2010,19,8,40,16
ANR Wisconsin Project Expansion,ANR Pipeline,Expansion,Interstate,Completed,WI,Midwest,FERC,CP08-465,7/29/10,2010,2010,38,9,98,30
SONAT Elba Express III,Elba Express Pipeline,New Pipeline,Interstate,Completed,GA,Southeast,FERC,CP06-470,3/3/10,2010,2010,200,190,945,"42,36"
Delta Lateral Project,Transcontinental Gas Pipeline,Lateral,Interstate,Completed,PA,Northeast,FERC,CP09-237,7/29/10,2010,2010,13,4,208,16
NWPL Sundance Trail Expansion,Northwest Pipeline Co,Expansion,Interstate,Completed,CO,Central,FERC,CP09-415,7/29/10,2010,2010,19.6666666666667,5.33333333333333,50,30
NWPL Sundance Trail Expansion,Northwest Pipeline Co,Expansion,Interstate,Completed,UT,Central,FERC,CP09-415,7/29/10,2010,2010,19.6666666666667,5.33333333333333,50,30
NWPL Sundance Trail Expansion,Northwest Pipeline Co,Expansion,Interstate,Completed,WY,Central,FERC,CP09-415,7/29/10,2010,2010,19.6666666666667,5.33333333333333,50,30
Dominion Rural Valley Project,Dominion Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP09-10,7/8/10,2010,2010,41,1,57,10
Dominion Hub III Project,Dominion Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP09-18,7/29/10,2010,2010,17.5,4.5,112,24
Dominion Hub III Project,Dominion Transmission,Expansion,Interstate,Completed,WV,Northeast,FERC,CP09-18,7/29/10,2010,2010,17.5,4.5,112,24
Dominion Hub II Project,Dominion Transmission,Expansion,Interstate,Completed,NY,Northeast,FERC,CP09-83,7/29/10,2010,2010,23,,20,
TGT Fayetteville Lateral Phase 3,Texas Gas Transmission Co,New Pipeline,Interstate,Completed,AR,"Southwest,Southeast",FERC,CP08-467,7/8/10,2010,2010,162,,333,
Dominion Hub I Project,Dominion Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP08-33,7/29/10,2010,2010,34,2,200,20
CIG Raton Basin 2010 Expansion,Colorado Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP09-464,2/15/11,2010,2010,132,118,130,16
Monroe Pipeline Project,City of Monroe,New Pipeline,Intrastate,Completed,NC,Southeast,State,na,3/31/11,2010,2010,42,43,70,12
Prairie Rose Header Pipeline,Pecan Pipeline Co,New Pipeline,Intrastate,Completed,ND,Central,State,na,7/8/10,2010,2010,60,75,40,12
CEGT Carthage/Perryville (Line CP) Phase IV,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,TX,Southwest,FERC,CP09-29,7/29/10,2010,2010,34,,137,
CEGT Carthage/Perryville (Line CP) Phase IV,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,LA,Southwest,FERC,CP09-29,7/29/10,2010,2010,34,,137,
NWPL Colorado Hub Connection Project (CHC),Northwest Pipeline Co,Expansion,Interstate,Completed,CO,Central,FERC,CP08-477,3/11/10,2009,2009,60,27,582,24
Kinder Morgan Louisiana Pipeline,Kinder Morgan Louisiana PL Co,New Pipeline,Interstate,Completed,LA,Southwest,FERC,CP06-449,7/8/10,2009,2009,1000,132,2130,"42,24"
Northern Border Des Plaines Project,Northern Border Pipeline,Expansion,Interstate,Completed,IL,"Midwest,Central",FERC,CP08-72,3/11/10,2009,2009,8.5,,,
Northern Border Des Plaines Project,Northern Border Pipeline,Expansion,Interstate,Completed,IA,"Midwest,Central",FERC,CP08-72,3/11/10,2009,2009,8.5,,,
Bayou Choctaw Storage Headers,PetroLogistics Natural Gas Storage,Lateral,Interstate,Completed,LA,Southwest,FERC,CP07-428,7/21/10,2009,2009,15,13,300,"24,16"
Questar Greasewood Station,Questar Pipeline,Expansion,Interstate,Completed,UT,Central,FERC,CP08-405,3/11/10,2009,2009,10.5,,61.5,
Questar Greasewood Station,Questar Pipeline,Expansion,Interstate,Completed,CO,Central,FERC,CP08-405,3/11/10,2009,2009,10.5,,61.5,
ET Cleburne to Tolar Extension,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,7/8/10,2009,2009,45,20,400,30
KM REX-East Leg 2,Rockies Express Pipeline,New Pipeline,Interstate,Completed,OH,Northeast,FERC,CP07-208,7/8/10,2009,2009,1162,195,1800,42
Algonquin Kleen Energy Lateral,Algonquin Gas Transmission,Lateral,Interstate,Completed,CT,Northeast,FERC,CP08-462,3/8/11,2009,2009,8,1,131,20
Algonquin J-2 Loop,Algonquin Gas Transmission,Expansion,Interstate,Completed,MA,Northeast,FERC,CP08-256,7/22/10,2009,2009,35,2,140,14
MarkWest Arkoma Connector Pipeline Project,MarkWest Pioneer LLC,Lateral,Interstate,Completed,OK,Southwest,FERC,CP08-404,3/11/10,2009,2009,75,50,638,24
MichCon Sumpter Extension Pipeline Project,Michigan Consolidated PL Co,Expansion,Intrastate,Completed,MI,Midwest,State,MSPC U-15346,7/8/10,2009,2009,61,15,214,24
Midcontinent Express Pipeline,Midcontinent Express Pipeline,New Pipeline,Interstate,Completed,OK,"Southwest,Southeast",FERC,CP08-6,7/8/10,2009,2009,366.4,101.4,306.6,"42,36"
Midcontinent Express Pipeline,Midcontinent Express Pipeline,New Pipeline,Interstate,Completed,TX,"Southwest,Southeast",FERC,CP08-6,7/8/10,2009,2009,366.4,101.4,306.6,"42,36"
Midcontinent Express Pipeline,Midcontinent Express Pipeline,New Pipeline,Interstate,Completed,LA,"Southwest,Southeast",FERC,CP08-6,7/8/10,2009,2009,366.4,101.4,306.6,"42,36"
Midcontinent Express Pipeline,Midcontinent Express Pipeline,New Pipeline,Interstate,Completed,MS,"Southwest,Southeast",FERC,CP08-6,7/8/10,2009,2009,366.4,101.4,306.6,"42,36"
Midcontinent Express Pipeline,Midcontinent Express Pipeline,New Pipeline,Interstate,Completed,AL,"Southwest,Southeast",FERC,CP08-6,7/8/10,2009,2009,366.4,101.4,306.6,"42,36"
Curryville Compression Expansion Project,MoGas Energy LLC,Expansion,Interstate,Completed,MO,Central,FERC,CP07-450,3/11/10,2009,2009,16,,,
