Name,Operator,Type,Pipeline,Status,States,Regions,Authority,Docket,Updated,Completed,Year,Cost,Miles,Capacity,Diameter
TETCO TIME II Expansion Phase 1,Texas Eastern Transmission,Expansion,Interstate,Completed,NJ,Northeast,FERC,CP06-115,6/26/09,2007,2007,39,7.33333333333333,50,36
Vector 2007 Phase 1 Expansion,Vector Pipeline,Expansion,Interstate,Completed,IL,"Midwest,Canada",FERC,CP06-29,6/26/09,2007,2007,17.5,,61.25,42
Vector 2007 Phase 1 Expansion,Vector Pipeline,Expansion,Interstate,Completed,IN,"Midwest,Canada",FERC,CP06-29,6/26/09,2007,2007,17.5,,61.25,42
Vector 2007 Phase 1 Expansion,Vector Pipeline,Expansion,Interstate,Completed,MI,"Midwest,Canada",FERC,CP06-29,6/26/09,2007,2007,17.5,,61.25,42
Vector 2007 Phase 1 Expansion,Vector Pipeline,Expansion,Interstate,Completed,ON,"Midwest,Canada",FERC,CP06-29,6/26/09,2007,2007,17.5,,61.25,42
SONAT Cypress 2007 Phase 1,Southern Natural Gas Co,New Pipeline,Interstate,Completed,GA,Southeast,FERC,CP05-388,6/26/09,2007,2007,120,83.5,167.5,24
SONAT Cypress 2007 Phase 1,Southern Natural Gas Co,New Pipeline,Interstate,Completed,FL,Southeast,FERC,CP05-388,6/26/09,2007,2007,120,83.5,167.5,24
CIG Raton Basin 2007 Expansion,Colorado Interstate Gas Co,Expansion,Interstate,Completed,CO,"Central,Southwest",FERC,CP07-103,6/26/09,2007,2007,6,5.5,14.5,
CIG Raton Basin 2007 Expansion,Colorado Interstate Gas Co,Expansion,Interstate,Completed,KS,"Central,Southwest",FERC,CP07-103,6/26/09,2007,2007,6,5.5,14.5,
Trunkline North Texas 2007 Expansion,Trunkline Gas Co,Expansion,Interstate,Completed,TX,Southwest,FERC,CP06-452,6/26/09,2007,2007,89.5,22.5,312.5,36
Trunkline North Texas 2007 Expansion,Trunkline Gas Co,Expansion,Interstate,Completed,LA,Southwest,FERC,CP06-452,6/26/09,2007,2007,89.5,22.5,312.5,36
Southwest Delaware County Extension,Columbia Gas of Ohio,Expansion,Intrastate,Completed,OH,Northeast,State,na,6/26/09,2007,2007,14,10,100,16
CGT Hardy Storage Lateral,Columbia Gas Transmission,Lateral,Interstate,Completed,WV,Northeast,FERC,CP05-150,6/26/09,2007,2007,49,13,175,20
CGT Hardy Storage Pipeline Expansion,Columbia Gas Transmission,Lateral,Interstate,Completed,VA,Northeast,FERC,CP05-144/PF04-14,6/26/09,2007,2007,27.5,17,87.5,24
CGT Hardy Storage Pipeline Expansion,Columbia Gas Transmission,Lateral,Interstate,Completed,MD,Northeast,FERC,CP05-144/PF04-14,6/26/09,2007,2007,27.5,17,87.5,24
DTE Shelby Pipeline,DTE Energy Inc,New Pipeline,Intrastate,Completed,MI,Midwest,State,MSPC U-15149,3/9/10,2007,2007,5,5,100,20
Questar Southern System Expansion to Goshen,Questar Pipeline,Expansion,Interstate,Completed,UT,Central,FERC,CP07-25,6/26/09,2007,2007,108,59,175,24
WIG Kanda Lateral Phase 1,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,UT,Central,FERC,CP07-14,6/26/09,2007,2007,30.5,26,203,24
WIG Kanda Lateral Phase 1,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,WY,Central,FERC,CP07-14,6/26/09,2007,2007,30.5,26,203,24
CrossTex North Texas 2007 Expansion,Crosstex Energy Services,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2007,2007,20,,125,24
CEGT Harrison Supply Lateral Expansion,Centerpoint Energy Gas Transmission,Lateral,Interstate,Completed,TX,Southwest,FERC,EM06-05,6/26/09,2007,2007,13,14,60,16
KM Rockies Express (Entrega) Phase 2,Rockies Express Pipeline,Expansion,Interstate,Completed,CO,Central,FERC,CP04-413,6/26/09,2007,2007,80,,375,
KM Rockies Express (Entrega) Phase 2,Rockies Express Pipeline,Expansion,Interstate,Completed,WY,Central,FERC,CP04-413,6/26/09,2007,2007,80,,375,
Falcon Worsham-Steed Storage Pipeline,NorTex Gas Storage LLC,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2007,2007,60,63,450,24
North Baja Pipeline Expansion Phase I,North Baja Pipeline LLC,Expansion,Interstate,Completed,MX,"Mexico,Western",FERC,CP06-61,6/26/09,2008,2007,1.33333333333333,0.666666666666667,204.666666666667,"48,42"
North Baja Pipeline Expansion Phase I,North Baja Pipeline LLC,Expansion,Interstate,Completed,CA,"Mexico,Western",FERC,CP06-61,6/26/09,2008,2007,1.33333333333333,0.666666666666667,204.666666666667,"48,42"
North Baja Pipeline Expansion Phase I,North Baja Pipeline LLC,Expansion,Interstate,Completed,AZ,"Mexico,Western",FERC,CP06-61,6/26/09,2008,2007,1.33333333333333,0.666666666666667,204.666666666667,"48,42"
KM Chicago Pipeline,Kinder Morgan Illinois PL Co,New Pipeline,Interstate,Completed,IL,Midwest,FERC,CP06-455,6/26/09,2007,2007,13,3,360,24
SSTAR Waynoka Lateral,Southern Star Central PL Co,Lateral,Interstate,Completed,OK,Southwest,FERC,na,6/26/09,2007,2007,11,15,175,20
NNG Northern Lights Project,Northern Natural Gas Co,Expansion,Interstate,Completed,IA,Central,FERC,CP06-403,6/26/09,2007,2007,64.5,39.5,187,"36,26,16"
NNG Northern Lights Project,Northern Natural Gas Co,Expansion,Interstate,Completed,MN,Central,FERC,CP06-403,6/26/09,2007,2007,64.5,39.5,187,"36,26,16"
NNG Palmyra North Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,KS,Central,FERC,CP06-433,6/26/09,2007,2007,2.25,1.5,11,
NNG Palmyra North Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,SD,Central,FERC,CP06-433,6/26/09,2007,2007,2.25,1.5,11,
NNG Palmyra North Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,NE,Central,FERC,CP06-433,6/26/09,2007,2007,2.25,1.5,11,
NNG Palmyra North Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,IA,Central,FERC,CP06-433,6/26/09,2007,2007,2.25,1.5,11,
KM REX Processing Plant Lateral,Kinder Morgan Inc,Lateral,Interstate,Completed,WY,Central,FERC,CP07-383,6/26/09,2007,2007,15,3,150,16
WIG Kanda Lateral Phase 2,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,UT,Central,FERC,CP07-14,6/26/09,2007,2007,30,36,,24
WIG Kanda Lateral Phase 2,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,WY,Central,FERC,CP07-14,6/26/09,2007,2007,30,36,,24
KM Rockies Express (Entrega) Phase 1 Seg 2,Rockies Express Pipeline,New Pipeline,Interstate,Completed,WY,Central,FERC,CP04-413,6/26/09,2007,2007,200,96,375,42
KM Rockies Express (Entrega) Phase 1 Seg 2,Rockies Express Pipeline,New Pipeline,Interstate,Completed,CO,Central,FERC,CP04-413,6/26/09,2007,2007,200,96,375,42
FGT Turkey Point Lateral,Florida Gas Trans Co,Lateral,Interstate,Completed,FL,Southeast,FERC,CP05-64,6/26/09,2006,2006,20,0,100,24
Lodi (Kirby Hills) Lateral,Lodi Storage Inc,Lateral,Intrastate,Completed,CA,Western,State,na,6/26/09,2006,2006,11,6,50,24
ET Barnett-Texoma Expansion Phase 2,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2006,2006,65,32,500,42
Liberty Storage Pipeline,Liberty Gas Storage LLC,Lateral,Interstate,Completed,LA,Southwest,FERC,CP05-94,7/21/10,2006,2006,30,23,1000,30
Dominion Northeast TL-527 Line Project,Dominion Transmission,Lateral,Interstate,Completed,WV,Northeast,FERC,CP04-365,6/26/09,2006,2006,10.3333333333333,8,66.6666666666667,"20,16,8"
Dominion Northeast TL-527 Line Project,Dominion Transmission,Lateral,Interstate,Completed,PA,Northeast,FERC,CP04-365,6/26/09,2006,2006,10.3333333333333,8,66.6666666666667,"20,16,8"
Dominion Northeast TL-527 Line Project,Dominion Transmission,Lateral,Interstate,Completed,NY,Northeast,FERC,CP04-365,6/26/09,2006,2006,10.3333333333333,8,66.6666666666667,"20,16,8"
Bossier Loop Phase 1,Regency Intrastate Pipeline Co,Expansion,Intrastate,Completed,LA,Southwest,State,na,6/26/09,2006,2006,25,16,100,24
ETenn Jewell Ridge Lateral,East Tennessee Nat Gas Co,Lateral,Interstate,Completed,VA,Northeast,FERC,CP05-413,6/26/09,2006,2006,53,32,235,20
Eastern Shore 2006 Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,PA,Northeast,FERC,CP06-53,6/26/09,2006,2006,5.66666666666667,11.6666666666667,8.66666666666667,"16,10,6"
Eastern Shore 2006 Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,MD,Northeast,FERC,CP06-53,6/26/09,2006,2006,5.66666666666667,11.6666666666667,8.66666666666667,"16,10,6"
Eastern Shore 2006 Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,DE,Northeast,FERC,CP06-53,6/26/09,2006,2006,5.66666666666667,11.6666666666667,8.66666666666667,"16,10,6"
Freebird Gas Storage Line,Freebird Gas Storage LLC,Lateral,Interstate,Completed,AL,Southeast,FERC,CP05-29,6/26/09,2006,2006,8,4,250,16
CrossTex North Texas Pipeline,Crosstex Energy Services,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2006,2006,115,140,250,24
Union Gas 2006 Expansion,Union Gas LTD,Expansion,Foreign,Completed,ON,Canada,NEB of Canada,na,6/26/09,2006,2006,120,22,372,
ET Mayprearl to Mansfield Line,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2006,2006,48,24,400,24
KM Rockies Express (Entrega) Phase 1 Seq 1,Rockies Express Pipeline,New Pipeline,Interstate,Completed,CO,Central,FERC,CP04-413,6/26/09,2006,2006,90,68,375,36
KM Rockies Express (Entrega) Phase 1 Seq 1,Rockies Express Pipeline,New Pipeline,Interstate,Completed,WY,Central,FERC,CP04-413,6/26/09,2006,2006,90,68,375,36
ET Forth Worth Basin Looping,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2006,2006,32,24,400,24
ETenn Piedmont Project,East Tennessee Nat Gas Co,Expansion,Interstate,Completed,TN,"Southeast,Northeast",FERC,CP01-415,6/26/09,2006,2006,8,6.5,10,24
ETenn Piedmont Project,East Tennessee Nat Gas Co,Expansion,Interstate,Completed,VA,"Southeast,Northeast",FERC,CP01-415,6/26/09,2006,2006,8,6.5,10,24
NGPL A/G Line Expansion,Nat Gas P L Co of America,Expansion,Interstate,Completed,TX,Southwest,FERC,na,6/26/09,2006,2006,16,,139,30
TransColorado North Expansion Project,TransColorado Pipeline,Expansion,Interstate,Completed,CO,Central,FERC,CP05-45,6/26/09,2006,2006,16,,300,"24,12"
WIG Piceance Line,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP05-54,6/26/09,2006,2006,68,71,175,24
WIG Piceance Line,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,WY,Central,FERC,CP05-54,6/26/09,2006,2006,68,71,175,24
Northern Border Chicago Expansion III,Northern Border Pipeline,Expansion,Interstate,Completed,IA,"Central,Midwest",FERC,CP05-88,6/26/09,2006,2006,7,,43.3333333333333,
Northern Border Chicago Expansion III,Northern Border Pipeline,Expansion,Interstate,Completed,IL,"Central,Midwest",FERC,CP05-88,6/26/09,2006,2006,7,,43.3333333333333,
Northern Border Chicago Expansion III,Northern Border Pipeline,Expansion,Interstate,Completed,IN,"Central,Midwest",FERC,CP05-88,6/26/09,2006,2006,7,,43.3333333333333,
TGT West Greenville-Elkton Lateral,Texas Gas Transmission Co,Expansion,Interstate,Completed,KY,Southeast,FERC,CP06-22,6/26/09,2006,2006,14,28,80,"12,10"
Overthrust Extension,Questar Overthrust Pipeline Co,Expansion,Interstate,Completed,WY,Central,FERC,CP06-167,6/26/09,2006,2006,52,27,550,36
Heartland Pipeline,ProLiance Energy LLC,New Pipeline,Intrastate,Completed,IN,Midwest,State,na,6/26/09,2006,2006,17,25,80,16
ANR Wisconsin 2006 Expansion Project,ANR Pipeline,Expansion,Interstate,Completed,MI,Midwest,FERC,CP05-364,6/26/09,2006,2006,24,3.5,84,"30,16"
ANR Wisconsin 2006 Expansion Project,ANR Pipeline,Expansion,Interstate,Completed,WI,Midwest,FERC,CP05-364,6/26/09,2006,2006,24,3.5,84,"30,16"
Atmos/Enbridge X-Line Expansion,Atmos Energy Inc,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2006,2006,20,,150,36
CrossTex Azle Gas Plant Header,Crosstex Energy Services,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2006,2006,20,30,55,16
NGPL A/G Cross Haul Expansion,Nat Gas P L Co of America,Expansion,Interstate,Completed,OK,Southwest,FERC,CP05-34,6/26/09,2006,2006,10,,31,"36,30"
CrossTex Goforth Gas Plant Header,Crosstex Energy Services,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2006,2006,30,47,30,"24,16"
NGPL Segment One Expansion,Nat Gas P L Co of America,Expansion,Interstate,Completed,TX,Southwest,FERC,CP05-34,6/26/09,2006,2006,5.5,,10,20
NGPL Segment One Expansion,Nat Gas P L Co of America,Expansion,Interstate,Completed,OK,Southwest,FERC,CP05-34,6/26/09,2006,2006,5.5,,10,20
CEGT Round Mountain Expansion,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,AR,Southwest,FERC,CP04-377,6/26/09,2006,2006,6,,70,
Stagecoach South Lateral,Central New York Oil & Gas,Lateral,Interstate,Completed,NY,Northeast,FERC,CP06-64,6/26/09,2006,2006,10,6,500,20
Cheyenne Plains Supply Lateral,Cheyenne Plains Pipeline Co,Lateral,Interstate,Completed,CO,Central,FERC,CP06-169,6/26/09,2006,2006,21,25,48,10
Northern Columbus Last Phase,Columbia Gas of Ohio,Expansion,Intrastate,Completed,OH,Northeast,State,na,6/26/09,2006,2006,41,24,100,"24,20,12"
CGT Line 1278 Replacement,Columbia Gas Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP04-34,6/26/09,2006,2006,85,43,9,20
ET Barnett-Texoma Expansion Phase 1,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2006,2006,110,97,600,42
CrossTex Fort Worth Basin Pipeline,Crosstex Energy Services,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2006,2006,115,122,250,24
NWPL Capacity Replacement Project,Northwest Pipeline Co,Expansion,Interstate,Completed,WA,Western,FERC,CP05-32,6/26/09,2006,2006,333,80,360,"36,26"
North Side Loop (NSL) East Side,Atmos Energy Inc,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2006,2006,25,25,225,30
Rendezvous Pipeline Lateral,Rendezvous Gas Pipeline,Lateral,Interstate,Completed,WY,Central,FERC,CP05-40,6/26/09,2006,2006,11,21,300,20
Windsor Energy Gathering Lateral,Windsor Energy Inc,Lateral,Intrastate,Completed,WY,Central,State,na,6/26/09,2006,2006,20,21,300,10
Northeast ConneXion-NY/NJ,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,PA,Northeast,FERC,CP05-355,6/26/09,2006,2006,19.5,3,50.5,30
Northeast ConneXion-NY/NJ,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,NJ,Northeast,FERC,CP05-355,6/26/09,2006,2006,19.5,3,50.5,30
SSTAR Ozark Trails Expansion Project,Southern Star Central PL Co,Expansion,Interstate,Completed,OK,"Southwest,Central",FERC,CP06-94,6/26/09,2006,2006,0.666666666666667,0.666666666666667,8.33333333333333,"26,20,16"
SSTAR Ozark Trails Expansion Project,Southern Star Central PL Co,Expansion,Interstate,Completed,KS,"Southwest,Central",FERC,CP06-94,6/26/09,2006,2006,0.666666666666667,0.666666666666667,8.33333333333333,"26,20,16"
SSTAR Ozark Trails Expansion Project,Southern Star Central PL Co,Expansion,Interstate,Completed,MO,"Southwest,Central",FERC,CP06-94,6/26/09,2006,2006,0.666666666666667,0.666666666666667,8.33333333333333,"26,20,16"
GS Carthage to Keatchie Pipeline Loop,Gulf South Pipeline,Expansion,Interstate,Completed,TX,Southwest,FERC,CP06-127,6/26/09,2006,2006,24,10.5,61,42
GS Carthage to Keatchie Pipeline Loop,Gulf South Pipeline,Expansion,Interstate,Completed,LA,Southwest,FERC,CP06-127,6/26/09,2006,2006,24,10.5,61,42
ANR EastLeg Expansion,ANR Pipeline,Lateral,Interstate,Completed,WI,Midwest,FERC,CP04-51,6/26/09,2005,2005,19,8,143,"30,8"
KM Rancho Pipeline Phase II,Kinder Morgan Energy Partners,Conversion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2005,2005,40,254,150,24
Marion/Delaware Cos Extension,Suburban Gas Co,Expansion,Intrastate,Completed,OH,Northeast,State,na,6/26/09,2005,2005,9,20,100,12
Eastern North Carolina Outer Banks,Eastern North Carolina PL Co,Expansion,Intrastate,Completed,NC,Southeast,State,na,6/26/09,2005,2005,5,10,30,6
FGT Interconnect,Dominion South Pipeline Co,Expansion,Interstate,Completed,TX,Southwest,FERC,CP05-76,6/26/09,2005,2005,2,0,200,12
Tenneco Tewksbury-Andover Lateral,Tennessee Gas Pipeline Co,Lateral,Interstate,Completed,MA,Northeast,FERC,CP04-60,6/26/09,2005,2005,8,5,25,8
CEGT Line AD Expansion Project,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,"OK,TX",Southwest,FERC,CP05-03,6/26/09,2005,2005,32,,113,"42,24"
El Paso Line 1903 Conversion,El Paso Natural Gas,Conversion,Interstate,Completed,"AZ,CA",Western,FERC,CP05-02,6/26/09,2005,2005,78,94,502,30
Salt River Landfill Line,SRG (Saltriver Group) Inc,Lateral,Intrastate,Completed,AZ,Western,State,na,6/26/09,2005,2005,2,3,2,12
Enbridge East Texas Pipeline,Enbridge Energy Pipeline Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2005,2005,130,107,500,36
ET Forth Worth Basin Pipeline,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2005,2005,53,54,650,24
Eastern Shore 2003-5 Expansion Phase 3,Eastern Shore Natural Gas,Expansion,Interstate,Completed,"PA,MD,DE",Northeast,FERC,CP03-80,6/26/09,2005,2005,14,24,10,16
NWPL White River Project,Northwest Pipeline Co,Expansion,Interstate,Completed,WA,Western,FERC,CP03-32,6/26/09,2005,2005,29,2,,"30,26"
Discovery Market Expansion,Discovery Gas Transmission LLC,Expansion,Interstate,Completed,"GM,LA","Gulf of Mexico,Southwest",FERC,CP03-342,6/26/09,2005,2005,11,3,150,"16,20"
CEGT Line2-AD-24 Childes Lateral,Centerpoint Energy Gas Transmission,Lateral,Interstate,Completed,OK,Southwest,FERC,CP05-58,6/26/09,2005,2005,4,24,400,"24,20,16"
Gulfstream Pipeline Phase 2,Gulfstream Natural Gas System,Lateral,Interstate,Completed,FL,Southeast,FERC,CP00-06,6/26/09,2005,2005,237,110,175,"30,24"
Consumers Oakland East Portion,Consumers Energy Inc,New Pipeline,Intrastate,Completed,MI,Midwest,State,na,6/26/09,2005,2005,28,11,135,36
TW San Juan 2005 Expansion,Transwestern Pipeline Co,Expansion,Interstate,Completed,NM,Southwest,FERC,CP04-104,6/26/09,2005,2005,138,73,375,36
Petal Gas Capacity Increase,Petal Gas Storage LLC,Lateral,Interstate,Completed,MS,Southeast,FERC,CP04-424,6/26/09,2005,2005,1,,620,36
Trunkline Lake Charles Lateral Loop 2005,Trunkline Gas Co,Expansion,Interstate,Completed,LA,Southwest,FERC,CP04-64,6/26/09,2005,2005,40,23,1100,36
SONAT Triangle Upgrade,Southern Natural Gas Co,Expansion,Interstate,Completed,GA,Southeast,FERC,CP04-340,6/26/09,2005,2005,19,17,,"30,16"
CIG Raton Basin 2005 Expansion,Colorado Interstate Gas Co,Expansion,Interstate,Completed,"CO,KS,OK","Central,Southwest",FERC,CP05-50,6/26/09,2005,2005,60,102,104,"24,20,16"
NNG Bluff Creek/Tomah Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,MN,Midwest,FERC,CP05-49,6/26/09,2005,2005,8,3,2,30
Questar Southern Sys 2005 Expansion,Questar Pipeline,Expansion,Interstate,Completed,UT,Central,FERC,CP05-05,6/26/09,2005,2005,55,19,102,24
Cheyenne Plains Expansion,Cheyenne Plains Pipeline Co,Expansion,Interstate,Completed,"CO,KS",Central,FERC,CP04-345,6/26/09,2005,2005,8,,170,36
Dominion Cove Point East Project,Dominion Cove Point LNG PL Co,Expansion,Interstate,Completed,"VA,MD",Northeast,FERC,CP03-74,6/26/09,2005,2005,44,,433,36
Energy Bridge Connection Line,Excelerate Energy LLC,Expansion,Interstate,Completed,GM,Gulf of Mexico,MMS,na,6/26/09,2005,2005,5,8,690,20
Northern Louisiana Expansion (Winnsboro Ext),Regency Intrastate Pipeline Co,Expansion,Intrastate,Completed,LA,Southwest,State,na,6/26/09,2005,2005,157,120,615,"30,24"
North Side Loop (NSL) West Side,Atmos Energy Inc,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2005,2005,24,22,225,30
Transco Central New Jersey Expansion Project,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,NJ,Northeast,FERC,CP04-396,6/26/09,2005,2005,12,4,105,36
Horseshoe Lake Lateral (A-334),Mississippi River Transmission,Lateral,Interstate,Completed,IL,Midwest,FERC,CP04-346,6/26/09,2005,2005,18,4,134,20
ANR NorthLeg Expansion,ANR Pipeline,Expansion,Interstate,Completed,WI,Midwest,FERC,CP04-01,6/26/09,2005,2005,14,,105,
KM Rancho Pipeline Phase I,Kinder Morgan Energy Partners,Conversion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2004,2004,30,177,170,24
Algonquin Everett Alternative Project,Algonquin Gas Transmission,Expansion,Interstate,Completed,MA,Northeast,FERC,CP04-67,6/26/09,2004,2004,12,0,60,24
El Paso Bondad 04 Expansion Proj,El Paso Natural Gas,Expansion,Interstate,Completed,"CO,NM","Central,Southwest",FERC,CP03-57,6/26/09,2004,2004,7,,140,
NEGASCO Interconnect,Yankee Gas Services Co,Expansion,Interstate,Completed,CT,Northeast,FERC,CP04-02,6/26/09,2004,2004,5,9,5,"12,8"
Acuna Export Crossing,West Texas Gas Co,Lateral,Interstate,Completed,"TX,MX","Southwest,Mexico",FERC,CP02-97,6/26/09,2004,2004,2,9,25,8
SSTAR Southwest Missouri Expansion Proj,Southern Star Central PL Co,Lateral,Interstate,Completed,"KS,MO",Central,FERC,CP02-416,6/26/09,2004,2004,11,16,67,20
TETCO Dominion Expansion,Texas Eastern Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP03-43,6/26/09,2004,2004,83,35,217,36
Eastern Shore 2003-5 Expansion Phase 2,Eastern Shore Natural Gas,Expansion,Interstate,Completed,"PA,MD,DE",Northeast,FERC,CP03-80,6/26/09,2004,2004,3,3,5,16
Coos Bay Project,Coos County Pipeline Co,New Pipeline,Intrastate,Completed,OR,Western,State,na,6/26/09,2004,2004,28,72,70,"12,6,4"
"MarkWest Pinnacle ""Hobbs"" Lateral Expansion",MarkWest New Mexico LP,Lateral,Interstate,Completed,NM,Southwest,FERC,CP03-323,6/26/09,2004,2004,1,2,124,12
SONAT South Sys Expansion II Phase 3,Southern Natural Gas Co,Expansion,Interstate,Completed,"AL,GA",Southeast,FERC,CP02-01,6/26/09,2004,2004,95,46,138,20
Dominion Mid-Atlantic Expansion,Dominion Transmission,Expansion,Interstate,Completed,"WV,PA,VA",Northeast,FERC,CP03-41,6/26/09,2004,2004,78,,217,
KM Huntsman Expansion,KM Interstate Pipeline Co,Expansion,Interstate,Completed,"CO,NE",Central,FERC,CP03-39,6/26/09,2004,2004,27,,62,"12,8"
Montrose/Ouray Lateral,Rocky Mountain Pipeline Co,Lateral,Intrastate,Completed,CO,Central,State,na,6/26/09,2004,2004,20,58,14,"8,6"
We Port Washington Lateral,We Energies Inc,Lateral,Intrastate,Completed,WI,Midwest,State,na,6/26/09,2004,2004,46,17,143,"24,20"
Gulfstream Martin Connector,Gulfstream Natural Gas System,Expansion,Interstate,Completed,FL,Southeast,FERC,CP04-09,6/26/09,2004,2004,14,5,350,30
Concord-Tilton Expansion Phase 1&2a,KeySpan Energy Delivery Inc,Expansion,Intrastate,Completed,NH,Northeast,State,na,6/26/09,2004,2004,4,7,50,12
Questar Jurisdictional Tap Line (JTL) 113,Questar Pipeline,Lateral,Interstate,Completed,UT,Central,FERC,CP04-335,6/26/09,2004,2004,16,13,190,20
WIG Echo Springs Lateral,Wyoming Interstate Gas Co,Lateral,Interstate,Completed,WY,Central,FERC,CP04-90,6/26/09,2004,2004,12,5,110,16
NWPL Everett Delta Lateral,Northwest Pipeline Co,Expansion,Interstate,Completed,WA,Western,FERC,CP01-49,6/26/09,2004,2004,25,9,113,16
TW Rewheel Project,Transwestern Pipeline Co,Expansion,Interstate,Completed,"NM,TX",Southwest,FERC,CP05-04,6/26/09,2004,2004,0,,10,24
NNG Pleasant Hill Project,Northern Natural Gas Co,Lateral,Interstate,Completed,IA,Central,FERC,CP04-28,6/26/09,2004,2004,4,3,96,16
TransColorado 2004 Expansion,TransColorado Pipeline,Expansion,Interstate,Completed,"CO,NM","Central,Southwest",FERC,CP04-12,6/26/09,2004,2004,33,,125,22
CIG Cheyenne Plains Pipeline,Colorado Interstate Gas Co,Expansion,Interstate,Completed,"CO,KS",Central,FERC,CP03-302,6/26/09,2004,2004,410,380,560,36
CIG Cheyenne Station Upgrade,Colorado Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP03-301,6/26/09,2004,2004,5,,120,
South Mist Storage Link Phase V,Northwest Natural Gas Co,Lateral,Intrastate,Completed,OR,Western,State,na,6/26/09,2004,2004,85,50,320,24
ET Kathy Bossier Pipeline,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2004,2004,40,78,500,36
Santan Expansion Lateral,SRG (Saltriver Group) Inc,Lateral,Intrastate,Completed,AZ,Western,State,na,6/26/09,2004,2004,31,36,200,24
ANR WestLeg Expansion,ANR Pipeline,Expansion,Interstate,Completed,WI,Midwest,FERC,CP02-434,6/26/09,2004,2004,42,33,220,"30,20,12"
Iroquois Eastchester Marine Expansion,Iroquois Pipeline Co,Lateral,Interstate,Completed,"ON,CT,NY","Canada,Northeast",FERC,CP00-232,6/26/09,2004,2004,334,37,230,24
El Paso Power-Up Expansion III,El Paso Natural Gas,Expansion,Interstate,Completed,"TX,NM,AZ,CA","Southwest,Western",FERC,CP03-01,6/26/09,2004,2004,63,,100,30
El Paso Power-Up Expansion I&II,El Paso Natural Gas,Expansion,Interstate,Completed,"TX,NM,AZ,CA","Southwest,Western",FERC,CP03-01,6/26/09,2004,2004,110,,220,30
Transco Momentum Phase II,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,"AL,MS,GA,SC,VA","Southeast,Northeast",FERC,CP01-388,6/26/09,2004,2004,25,26,53,42
Columbus 3 Storage Pipelines,Bluewater Gas Storage LLC,Lateral,Intrastate,Completed,MI,Midwest,State,na,6/26/09,2004,2004,2,2,700,20
TETCO M-1 2004 Expansion,Texas Eastern Transmission,Expansion,Interstate,Completed,"TN,AL",Southeast,FERC,CP02-381,6/26/09,2004,2004,27,7,57,36
SONAT South Sys Expansion II Phase 1A*,Southern Natural Gas Co,Expansion,Interstate,Completed,"MS,AL",Southeast,FERC,CP02-01,6/26/09,2003,2003,62,24,98,"30,36"
CEGT Line ACT-9,Centerpoint Energy Gas Transmission,Lateral,Interstate,Completed,OK,Southwest,FERC,CP03-06,6/26/09,2003,2003,1,1,240,20
