Company,Revenue,Bill,Year
Alpine Transportation Company ,22745383,24566,2007
Alpine Transportation Company ,32344141,41768,2008
Alpine Transportation Company ,19683467,21308,2009
Alpine Transportation Company ,17501653,15657,2010
Alpine Transportation Company ,15642047,17025,2011
Alpine Transportation Company ,16424394,16041,2012
Alpine Transportation Company ,15539287,10121,2013
Alpine Transportation Company ,15030764,10208,2014
Amoco Capline Pipeline Company ,19575765,22203,2007
Amoco Capline Pipeline Company ,9393326,12802,2008
Amoco Capline Pipeline Company ,10259432,11809,2009
Amoco Capline Pipeline Company ,9527544,8573,2010
Amoco Capline Pipeline Company ,2636420,3508,2011
"Arrowhead Louisiana Gathering, LLC ",3773110,4669,2009
"Arrowhead Louisiana Gathering, LLC ",5943778,5634,2010
"Arrowhead Louisiana Gathering, LLC ",6003708,6461,2011
"Arrowhead Louisiana Gathering, LLC ",5869307,5744,2012
"Arrowhead Louisiana Gathering, LLC ",8174984,5301,2013
"Arrowhead Louisiana Gathering, LLC ",10276173,6940,2014
"Baton Rouge Pipeline, LLC ",1687099,1095,2013
"Baton Rouge Pipeline, LLC ",2056746,1390,2014
"Baton Rouge Pipeline, LLC ",1834298,1917,2007
"Baton Rouge Pipeline, LLC ",1718474,2250,2008
"Baton Rouge Pipeline, LLC ",1423638,1600,2009
"Baton Rouge Pipeline, LLC ",1950058,1830,2010
"Baton Rouge Pipeline, LLC ",1907062,2059,2011
"Baton Rouge Pipeline, LLC ",1424294,1407,2012
Belle Fourche Pipeline Company ,8016778,8334,2007
Belle Fourche Pipeline Company ,11011594,14235,2008
Belle Fourche Pipeline Company ,13520820,15692,2009
Belle Fourche Pipeline Company ,14463937,13238,2010
Belle Fourche Pipeline Company ,16567993,17638,2011
Belle Fourche Pipeline Company ,18039041,17600,2012
Belle Fourche Pipeline Company ,34889109,22566,2013
Belle Fourche Pipeline Company ,42138822,28478,2014
"Belle Rose NGL Pipeline, LLC ",143141,106,2013
"Belle Rose NGL Pipeline, LLC ",24995,18,2014
"Belle Rose NGL Pipeline, LLC ",919898,932,2007
"Belle Rose NGL Pipeline, LLC ",468588,637,2008
"Belle Rose NGL Pipeline, LLC ",1097275,1314,2009
"Belle Rose NGL Pipeline, LLC ",895395,791,2010
"Belle Rose NGL Pipeline, LLC ",1233068,1295,2011
"Belle Rose NGL Pipeline, LLC ",1626629,1578,2012
Bengal Pipeline Company ,38139285,47860,2008
Bengal Pipeline Company ,37370291,42647,2009
Bengal Pipeline Company ,38532337,35121,2010
Bengal Pipeline Company ,45025492,47858,2011
Bengal Pipeline Company ,52768556,51382,2012
Bengal Pipeline Company ,56079783,36473,2013
Bengal Pipeline Company ,59678702,40439,2014
Black Lake Pipeline Company ,3386730,3499,2007
Black Lake Pipeline Company ,4596875,5944,2008
Black Lake Pipeline Company ,4745965,5439,2009
Black Lake Pipeline Company ,4939830,4507,2010
Black Lake Pipeline Company ,5247434,5622,2011
Black Lake Pipeline Company ,5305141,5187,2012
Black Lake Pipeline Company ,5652361,3676,2013
Black Lake Pipeline Company ,6604114,4466,2014
BP Oil Pipeline Company ,10784180,12791,2007
BP Oil Pipeline Company ,18483743,23754,2008
BP Oil Pipeline Company ,20601499,23748,2009
BP Oil Pipeline Company ,12542025,10512,2010
BP Oil Pipeline Company ,18098191,18951,2011
BP Oil Pipeline Company ,11015534,10984,2012
BP Oil Pipeline Company ,5336804,3522,2013
BP Oil Pipeline Company ,8727258,5868,2014
BP Pipeline ,350317040,367140,2007
BP Pipeline ,397388257,516828,2008
BP Pipeline ,164024259,165526,2009
BP Pipeline ,0,-17890,2010
BP Pipeline ,268036666,262623,2011
BP Pipeline ,284400466,277682,2012
BP Pipeline ,305071512,198381,2013
BP Pipeline ,365825550,247268,2014
BP Transportation ,24442634,27559,2007
BP Transportation ,28638280,37205,2008
BP Transportation ,24676478,27835,2009
BP Transportation ,19467684,17111,2010
BP Transportation ,12654956,14291,2011
BP Transportation ,3498923,3694,2012
BP Transportation ,4017491,2610,2013
BP Transportation ,5592223,3769,2014
Bridger Pipeline LLC ,9754898,14531,2007
Bridger Pipeline LLC ,11296398,14681,2008
Bridger Pipeline LLC ,16661114,19550,2009
Bridger Pipeline LLC ,33186677,31942,2010
Bridger Pipeline LLC ,46889665,49166,2011
Bridger Pipeline LLC ,57992819,56393,2012
Bridger Pipeline LLC ,95452258,61809,2013
Bridger Pipeline LLC ,91070545,61866,2014
Buckeye NGL Pipe Line LLC ,10437876,9244,2007
Buckeye NGL Pipe Line LLC ,12097223,15721,2008
Buckeye NGL Pipe Line LLC ,12723784,14605,2009
Buckeye NGL Pipe Line LLC ,8851541,7616,2010
Buckeye NGL Pipe Line LLC ,0,860,2011
Buckeye Pipe Line Co. L P ,206291018,221781,2007
Buckeye Pipe Line Co. L P ,217266210,283332,2008
Buckeye Pipe Line Co. L P ,229173448,263094,2009
Buckeye Pipe Line Co. L P ,252479482,231841,2010
Buckeye Pipe Line Co. L P ,252951196,272362,2011
Buckeye Pipe Line Co. L P ,244319390,239222,2012
Buckeye Pipe Line Co. L P ,271884162,176723,2013
Buckeye Pipe Line Co. L P ,266888011,181178,2014
Buckeye Pipe LIne Transportation ,16849889,14923,2007
Buckeye Pipe LIne Transportation ,24648415,31804,2008
Buckeye Pipe LIne Transportation ,20903965,23542,2009
Buckeye Pipe LIne Transportation ,16812281,14823,2010
Buckeye Pipe LIne Transportation ,21846489,23038,2011
Buckeye Pipe LIne Transportation ,34338079,33215,2012
Buckeye Pipe LIne Transportation ,42798588,27783,2013
Buckeye Pipe LIne Transportation ,44369103,30082,2014
Butte Pipe Line Company ,14381853,15077,2007
Butte Pipe Line Company ,15711517,20461,2008
Butte Pipe Line Company ,20598916,24007,2009
Butte Pipe Line Company ,27345527,25571,2010
Butte Pipe Line Company ,27254620,29360,2011
Butte Pipe Line Company ,35446033,34426,2012
Butte Pipe Line Company ,45373757,29448,2013
Butte Pipe Line Company ,34879598,23835,2014
"Caillou Boca Gathering, L.L.C. ",676569,837,2009
"Caillou Boca Gathering, L.L.C. ",888611,831,2010
"Caillou Boca Gathering, L.L.C. ",1139562,1203,2011
"Caillou Boca Gathering, L.L.C. ",0,33,2012
Calnev Pipe Line LLC ,51685974,54864,2007
Calnev Pipe Line LLC ,53505150,69820,2008
Calnev Pipe Line LLC ,54992230,63001,2009
Calnev Pipe Line LLC ,53839517,48771,2010
Calnev Pipe Line LLC ,56991106,61069,2011
Calnev Pipe Line LLC ,56463238,55241,2012
Calnev Pipe Line LLC ,51231807,33388,2013
Calnev Pipe Line LLC ,50343722,34175,2014
"CCPS Transportation, LLC ",30044251,26686,2007
"CCPS Transportation, LLC ",39673057,51342,2008
"CCPS Transportation, LLC ",47233792,54705,2009
"CCPS Transportation, LLC ",60287259,56176,2010
"CCPS Transportation, LLC ",77232436,81527,2011
"CCPS Transportation, LLC ",58703563,57969,2012
"CCPS Transportation, LLC ",90814007,58835,2013
"CCPS Transportation, LLC ",103090978,69759,2014
Cenex Pipeline Company ,14416579,14805,2007
Cenex Pipeline Company ,7737400,10457,2008
Cenex Pipeline Company ,16984857,20286,2009
Cenex Pipeline Company ,17419544,15868,2010
Cenex Pipeline Company ,16157290,17522,2011
Cenex Pipeline Company ,13617915,13394,2012
Cenex Pipeline Company ,16123711,10473,2013
Cenex Pipeline Company ,14593923,9926,2014
Centennial Pipeline LLC ,27592069,30202,2007
Centennial Pipeline LLC ,41758628,53832,2008
Centennial Pipeline LLC ,35737493,40286,2009
Centennial Pipeline LLC ,33189891,29864,2010
Centennial Pipeline LLC ,27116281,29793,2011
Centennial Pipeline LLC ,8475692,8844,2012
Centennial Pipeline LLC ,218172,212,2013
Centennial Pipeline LLC ,280620,189,2014
Centurion Pipeline LP ,5297178,10015,2007
Centurion Pipeline LP ,19996114,25367,2008
Centurion Pipeline LP ,41237480,49139,2009
Centurion Pipeline LP ,44842090,41118,2010
Centurion Pipeline LP ,64405403,67461,2011
Centurion Pipeline LP ,75333885,73357,2012
Centurion Pipeline LP ,98522289,63928,2013
Centurion Pipeline LP ,102219970,69302,2014
Chaparral Pipeline Company ,4538646,7864,2007
Chaparral Pipeline Company ,6256731,8087,2008
Chaparral Pipeline Company ,7533512,8730,2009
Chaparral Pipeline Company ,8635545,7964,2010
Chaparral Pipeline Company ,9829396,10470,2011
Chaparral Pipeline Company ,10500980,10251,2012
Chaparral Pipeline Company ,11159007,7256,2013
Chaparral Pipeline Company ,10073151,6853,2014
Chevron Pipe Line Company ,119003987,124502,2007
Chevron Pipe Line Company ,117623066,153768,2008
Chevron Pipe Line Company ,107093255,121428,2009
Chevron Pipe Line Company ,89380912,79242,2010
Chevron Pipe Line Company ,100068089,106727,2011
Chevron Pipe Line Company ,113554714,110665,2012
Chevron Pipe Line Company ,117638677,76531,2013
Chevron Pipe Line Company ,102123843,69542,2014
Chicap Pipe Line Company ,10464087,12236,2007
Chicap Pipe Line Company ,10300516,13468,2008
Chicap Pipe Line Company ,12328848,14283,2009
Chicap Pipe Line Company ,10985925,9831,2010
Chicap Pipe Line Company ,15219421,15980,2011
Chicap Pipe Line Company ,13865975,13602,2012
Chicap Pipe Line Company ,11322508,7392,2013
Chicap Pipe Line Company ,11554289,7836,2014
Chisholm Pipeline Company ,2914369,3032,2007
Chisholm Pipeline Company ,3629840,4706,2008
Chisholm Pipeline Company ,4439906,5152,2009
Chisholm Pipeline Company ,5522852,5133,2010
Chisholm Pipeline Company ,5187716,5618,2011
Chisholm Pipeline Company ,4313007,4244,2012
Chisholm Pipeline Company ,4259001,2772,2013
Chisholm Pipeline Company ,4882940,3304,2014
"Chunchula Pipeline Company, LLC ",1537961,1652,2007
"Chunchula Pipeline Company, LLC ",1205524,1593,2008
"Chunchula Pipeline Company, LLC ",1247477,1430,2009
"Chunchula Pipeline Company, LLC ",1547253,1438,2010
"Chunchula Pipeline Company, LLC ",1985188,2095,2011
"Chunchula Pipeline Company, LLC ",1973240,1930,2012
"Chunchula Pipeline Company, LLC ",1980065,1289,2013
"Chunchula Pipeline Company, LLC ",2272795,1538,2014
Citgo Pipeline Company ,6875537,7444,2007
Citgo Pipeline Company ,6246404,8195,2008
Citgo Pipeline Company ,7626440,8848,2009
Citgo Pipeline Company ,8337926,7650,2010
Citgo Pipeline Company ,11235290,11817,2011
Citgo Pipeline Company ,10567863,10356,2012
Citgo Pipeline Company ,10090876,6572,2013
Citgo Pipeline Company ,31354187,20939,2014
Citgo Products Pipeline Company ,17289317,18728,2007
Citgo Products Pipeline Company ,10355337,13890,2008
Citgo Products Pipeline Company ,11214443,12902,2009
Citgo Products Pipeline Company ,9009062,7941,2010
Citgo Products Pipeline Company ,13775316,14371,2011
Citgo Products Pipeline Company ,17294862,16811,2012
Citgo Products Pipeline Company ,16283755,10607,2013
Citgo Products Pipeline Company ,16562394,11234,2014
Cochin Pipeline System ,33260514,35585,2007
Cochin Pipeline System ,39138561,50837,2008
Coffeyville Resources Crude Trans. ,5758949,7125,2009
Coffeyville Resources Crude Trans. ,451385,428,2012
Coffeyville Resources Crude Trans. ,600263,390,2013
Coffeyville Resources Crude Trans. ,854084,575,2014
Collins Pipeline Company ,10071011,10153,2007
Collins Pipeline Company ,10510128,13711,2008
Collins Pipeline Company ,10091601,11497,2009
Collins Pipeline Company ,10367096,9445,2010
Collins Pipeline Company ,9967663,10772,2011
Collins Pipeline Company ,9331577,9146,2012
Collins Pipeline Company ,8682703,5657,2013
Collins Pipeline Company ,9825243,6649,2014
Colonial Pipeline Company ,730144818,410000,2007
Colonial Pipeline Company ,759247737,539000,2008
Colonial Pipeline Company ,750579154,487000,2009
Colonial Pipeline Company ,868420853,407000,2010
Colonial Pipeline Company ,903649772,525000,2011
Colonial Pipeline Company ,975118102,553000,2012
Colonial Pipeline Company ,1071422225,406000,2013
Colonial Pipeline Company ,1091856008,471000,2014
Conoco Offshore Pipe Line Company ,2705953,2824,2007
Conoco Offshore Pipe Line Company ,2258409,2975,2008
Conoco Offshore Pipe Line Company ,1467038,1603,2009
Conoco Offshore Pipe Line Company ,1063229,921,2010
Conoco Offshore Pipe Line Company ,1904813,1971,2011
Conoco Offshore Pipe Line Company ,3604940,3475,2012
Conoco Offshore Pipe Line Company ,3912155,2543,2013
Conoco Offshore Pipe Line Company ,2901783,1985,2014
ConocoPhillips Pipe Line Company ,188143944,205538,2007
ConocoPhillips Pipe Line Company ,188884211,246777,2008
ConocoPhillips Pipe Line Company ,215518820,248871,2009
ConocoPhillips Pipe Line Company ,214225401,194414,2010
ConocoPhillips Pipe Line Company ,206429347,223066,2011
ConocoPhillips Pipe Line Company ,220120532,214889,2012
"ConocoPhillips Transportation Alaska, In ",365461791,392598,2007
"ConocoPhillips Transportation Alaska, In ",127605173,179067,2008
"ConocoPhillips Transportation Alaska, In ",452127961,511984,2009
"ConocoPhillips Transportation Alaska, In ",416433862,377616,2010
"ConocoPhillips Transportation Alaska, In ",358396527,391602,2011
"ConocoPhillips Transportation Alaska, In ",382443074,373349,2012
"ConocoPhillips Transportation Alaska, In ",416070724,270513,2013
"ConocoPhillips Transportation Alaska, In ",444839879,301392,2014
Cottonwood Creek Inc. ,575208,545,2012
Cypress Interstate Pipeline LLC ,9473617,8984,2012
Cypress Interstate Pipeline LLC ,11957057,7761,2013
Cypress Interstate Pipeline LLC ,13327694,9022,2014
"Cypress Pipe Line Company, LLC ",2788696,2816,2007
"Cypress Pipe Line Company, LLC ",2850586,3722,2008
"Cypress Pipe Line Company, LLC ",3507105,4071,2009
"Cypress Pipe Line Company, LLC ",2328755,1985,2010
"Cypress Pipe Line Company, LLC ",0,227,2011
DCP Wattenberg Pipeline LLC ,3344235,3276,2011
DCP Wattenberg Pipeline LLC ,8302817,7974,2012
DCP Wattenberg Pipeline LLC ,11281829,7318,2013
DCP Wattenberg Pipeline LLC ,13306747,8997,2014
Delaware Pipeline Company LLC ,7299766,4689,2013
Delaware Pipeline Company LLC ,7299766,4953,2014
Dixie Pipeline Company ,52101284,56967,2007
Dixie Pipeline Company ,48693228,63803,2008
Dixie Pipeline Company ,52587725,60481,2009
Dixie Pipeline Company ,57279245,52532,2010
Dixie Pipeline Company ,63667071,67945,2011
Dixie Pipeline Company ,57557337,56476,2012
Dixie Pipeline Company ,57760176,37592,2013
Dixie Pipeline Company ,74984924,50609,2014
Dome Petroleum LLC ,613804,584,2012
Dome Pipeline Corporation ,3262695,3572,2007
Dome Pipeline Corporation ,3088653,4045,2008
Dome Pipeline Corporation ,2859435,3247,2009
Dome Pipeline Corporation ,0,-312,2010
Dome Pipeline Corporation ,53815,75,2011
"DryTrails Midstream Energy, LLC ",809559,793,2011
"DryTrails Midstream Energy, LLC ",809873,792,2012
"DryTrails Midstream Energy, LLC ",887147,577,2013
"DryTrails Midstream Energy, LLC ",822367,558,2014
Ellwood Pipeline Inc. ,2273202,2511,2007
Ellwood Pipeline Inc. ,2877396,3729,2008
Ellwood Pipeline Inc. ,3056667,3511,2009
Ellwood Pipeline Inc. ,3210421,2933,2010
Ellwood Pipeline Inc. ,2802491,3057,2011
Ellwood Pipeline Inc. ,2517003,2470,2012
Ellwood Pipeline Inc. ,2797723,1819,2013
Ellwood Pipeline Inc. ,2598704,1767,2014
"Enbridge Energy, Limited Partnership ",406402319,423719,2007
"Enbridge Energy, Limited Partnership ",423307452,539058,2008
"Enbridge Energy, Limited Partnership ",605263755,487000,2009
"Enbridge Energy, Limited Partnership ",779231918,407000,2010
"Enbridge Energy, Limited Partnership ",927222134,525000,2011
"Enbridge Energy, Limited Partnership ",990951436,553000,2012
"Enbridge Energy, Limited Partnership ",1047464768,406000,2013
"Enbridge Energy, Limited Partnership ",1157042668,471000,2014
Endicott Pipeline Company ,2543963,2893,2007
Endicott Pipeline Company ,4338842,5577,2008
Endicott Pipeline Company ,6265262,7343,2009
Endicott Pipeline Company ,8332029,7793,2010
Endicott Pipeline Company ,10068319,10674,2011
Endicott Pipeline Company ,7741853,7641,2012
Endicott Pipeline Company ,10144259,6582,2013
Endicott Pipeline Company ,10935346,7407,2014
"Energy XXI Pipeline, LLC ",22740054,14608,2013
"Energy XXI Pipeline, LLC ",22695713,15401,2014
Enterprise Crude Pipeline LLC ,31231822,32787,2011
Enterprise Crude Pipeline LLC ,24366149,24035,2012
Enterprise Crude Pipeline LLC ,25946292,16875,2013
Enterprise Crude Pipeline LLC ,36691359,24727,2014
"Enterprise Lou-Tex NGL Pipline, LP ",15361393,16075,2007
"Enterprise Lou-Tex NGL Pipline, LP ",15675236,20467,2008
"Enterprise Lou-Tex NGL Pipline, LP ",21748647,25432,2009
"Enterprise Lou-Tex NGL Pipline, LP ",23845750,21885,2010
"Enterprise Lou-Tex NGL Pipline, LP ",36418861,37998,2011
"Enterprise Lou-Tex NGL Pipline, LP ",36748773,35934,2012
"Enterprise Lou-Tex NGL Pipline, LP ",37105707,24147,2013
"Enterprise Lou-Tex NGL Pipline, LP ",42770186,28932,2014
Enterprise TE Products Company LLC ,267326396,288151,2011
Enterprise TE Products Company LLC ,252350046,247266,2012
Enterprise TE Products Company LLC ,207231712,135257,2013
Enterprise TE Products Company LLC ,233338247,157919,2014
Excel Pipeline LLC ,4254981,4169,2011
Excel Pipeline LLC ,4538360,4430,2012
Excel Pipeline LLC ,3640877,2377,2013
Excel Pipeline LLC ,5258278,3542,2014
Explorer Pipeline Company ,201035241,214494,2007
Explorer Pipeline Company ,232617313,302324,2008
Explorer Pipeline Company ,176731370,196761,2009
Explorer Pipeline Company ,163710661,147259,2010
Explorer Pipeline Company ,162206858,174831,2011
Explorer Pipeline Company ,158878228,155495,2012
Explorer Pipeline Company ,217506827,146642,2014
Explorer Pipeline Company ,157785254,102704,2013
Express Pipeline LLC ,80572111,83117,2007
Express Pipeline LLC ,79121710,103464,2008
Express Pipeline LLC ,84896981,97589,2009
Express Pipeline LLC ,82657054,74825,2010
Express Pipeline LLC ,82693638,89051,2011
Express Pipeline LLC ,80955309,79233,2012
Express Pipeline LLC ,100005197,67643,2014
Express Pipeline LLC ,86351630,56156,2013
ExxonMobil Pipeline Company ,372283432,376706,2007
ExxonMobil Pipeline Company ,392808548,512220,2008
ExxonMobil Pipeline Company ,124386600,116915,2009
ExxonMobil Pipeline Company ,355986244,348560,2010
ExxonMobil Pipeline Company ,352252831,379709,2011
ExxonMobil Pipeline Company ,350150097,342541,2012
ExxonMobil Pipeline Company ,434107837,293952,2014
ExxonMobil Pipeline Company ,395315628,256908,2013
Frontier Pipeline Company ,10253273,11108,2007
Frontier Pipeline Company ,9142685,12004,2008
Frontier Pipeline Company ,7982580,9015,2009
Frontier Pipeline Company ,10338892,9646,2010
Frontier Pipeline Company ,10094485,10894,2011
Frontier Pipeline Company ,11411450,11123,2012
Frontier Pipeline Company ,10482530,7145,2014
Frontier Pipeline Company ,12495399,8123,2013
GEL Offshore Pipeline LLC ,3922902,2683,2014
GEL Offshore Pipeline LLC ,5322779,3506,2013
"Gensis Pipeline USA, L.P. ",10567142,11285,2007
"Gensis Pipeline USA, L.P. ",11466212,14937,2008
"Gensis Pipeline USA, L.P. ",12428475,14297,2009
