lon,lat,Number,Name,Issued,Expiration,Capacity,Company,Waterway,State
-119.4419387,48.9217966,12569,ENLOE PROJECT,7/9/2013,6/30/1963,9000,PUD NO 1 OF OKANOGAN COUNTY (WA),SIMILKAMEEN RIVER WA,WA
NA,NA,13124,ALLISON LAKE,8/1/2013,7/31/1963,6500,COPPER VALLEY ELECTRIC ASSN.,ALLISON LAKE AK,AK
-72.05052,41.5983509,2662,SCOTLAND,11/21/2013,10/31/1953,3026,FIRSTLIGHT HYDRO GENERATING CO.,SHETUCKET RIVER CT,CT
-81.6688493,38.480187,1175,LONDON/MARMET,12/20/2013,1/31/1964,28800,APPALACHIAN POWER CO (VA),KANAWHA RIVER WV,WV
-81.6688493,38.480187,1290,WINFIELD,1/31/2014,1/31/1964,14760,APPALACHIAN POWER CO (VA),KANAWHA RIVER WV,WV
-118.6020543,39.9893047,14327,HUMBOLDT RIVER,1/31/2014,12/31/1964,750,PERSHING CNTY WATER CONSERVATION DI,HUMBOLDT RIVER NV,NV
-122.4713352,47.7236535,12690,ADMIRALITY INLET TIDAL ENERGY,3/20/2014,2/28/2024,600,PUD NO 1 OF SNOHOMISH COUNTY (WA),PUGENT SOUND WA,WA
-93.3792057,32.0842949,13160,OVERTON LOCK & DAM,4/2/2014,3/31/1964,78000,"RED RIVER HYDRO, LLC.",RED RIVER LA,LA
-93.3792057,32.0842949,12756,RED RIVER LOCK & DAM # 3,4/14/2014,3/31/1964,36200,BOST3 HYDROELECTRIC LLC,RED RIVER LA,LA
-89.775875,38.2309495,13011,LAKE SHELBYVILLE,4/18/2014,3/31/1964,6800,"SHELBYVILLE HYDRO, LLC.",KASKASKIA RIVER IL,IL
-111.7548696,42.4253812,14367,GILBERT PROJECT,5/12/2014,4/30/1954,90,"DON W. GILBERT HYDRO POWER, LLC.",BEAR RIVER ID,ID
-74.6654765,41.3837335,13287,CANNONSVILLE,5/13/2014,4/30/1964,14080,CITY OF NEW YORK (NY),NEVERSINK RIVER NY,NY
-71.6694888,43.2390233,6597,MONADNOCK PAPER MILLS,5/23/2014,7/31/1944,1889,MONADNOCK PAPER MILLS INC (NH),CONTOOCOOK RIVER NH,NH
-105.6412527,39.6904464,2351,CABIN CREEK PUMPED STORAGE,5/27/2014,4/30/1954,336000,PUBLIC SERVICE CO OF COLORADO (CO),SOUTH CLEAR CREEK CO,CO
-97.0376435,49.6641505,13123,EAGLE MOUNTAIN PUMPED STORAGE,6/19/2014,5/31/1964,1300000,EAGLE MOUNTAIN ENERGY CO (CA),CLOSED-LOOP CA,CA
-90.7923097,37.6008516,2277,TAUM SAUK PUMPED STORAGE,7/17/2014,6/30/1944,442500,UNION ELECTRIC CO (MO),EAST FORK BLACK RIVER MO,MO
-121.1890863,38.6885455,2101,UPPER AMERICAN RIVER (PS&CON),7/23/2014,6/30/1964,1037300,SACRAMENTO MUNICIPAL UTIL DIST (CA),SOUTH FORK AMERICAN R CA,CA
-122.9220845,40.5913314,1992,FIRE MOUNTAIN LODGE,8/4/2014,7/31/1944,50,WILLIS KEN,FERN SPRINGS CREEK CA,CA
-121.0369469,38.7639842,2155,CHILI BAR,8/20/2014,6/30/1964,7000,PACIFIC GAS AND ELECTRIC CO (C,SOUTH FORK AMERICAN RIVER CA,CA
-93.6509005,30.5639831,2305,TOLEDO BEND,8/29/2014,7/31/1964,82300,SABINE RIVER AUTHORITY-LA & TX (TX),SABINE RIVER TX,TX
-75.6035738,41.9500349,14537,ANTRIM MICRO,9/3/2014,8/31/1944,40,ANTRIM TREATMENT TRUST,SUSQUEHANNA RIVER PA,PA
-86.1955169,39.5690866,13346,WILLIAMS DAM,9/8/2014,8/31/1964,4000,"PAYNEBRIDGE, LLC.",WHITE RIVER IN,IN
-80.7288334,41.1136389,13953,LAKE MILTON,9/26/2014,8/31/1964,650,"MAHONING HYDROPOWER, LLC",MAHONING RIVER OH,OH
-73.2134659,41.5364181,12790,POMPERAUG,10/16/2014,9/30/1954,76,ANDREW PEKLO III,POMPERAUG RIVER CT,CT
-72.9985748,43.594392,2558,OTTER CREEK,10/23/2014,9/30/1954,22807,GREEN MOUNTAIN POWER CORP (VT),OTTER CREEK VT,VT
-86.9803479,46.341907,14345,ROCK RIVER BEACH,11/4/2014,10/30/1944,8,"ROCK REACH BEACH, INC.",ROCK RIVER MI,MI
-84.8468377,30.6783681,485,BARTLETTS FERRY,12/22/2014,11/30/1944,173000,GEORGIA POWER CO (GA),CHATTAHOOCHEE RIVER GA,GA
