"","lon","lat","Company","Field","Location","Type","Total","Working"
"154",-91.6916417,41.3014077,"Natural Gas Pipeline Company of America","Keota","Washington, IA","Aquifer",6,2.81
"155",-90.081779,40.785049,"Natural Gas Pipeline Company of America","Cook Mills","Douglas, IL","DGF",6.4,4.6
"156",-87.8611531,41.1200325,"Natural Gas Pipeline Company of America","Herscher/Herscher Northwest","Kankakee, IL","Aquifer",132,38.15
"157",-90.1537229,39.3200466,"Natural Gas Pipeline Company of America","Loudon","Fayette, IL","DGF",80,40
"158",-99.634135,35.2687266,"Natural Gas Pipeline Company of America","Sayre","Beckham, OK","DGF",84,53.83
"159",-94.315422,32.5539228,"Natural Gas Pipeline Company of America","North Lansing","Harrison, TX","DGF",156,96
"160",-81.9534815,39.9478393,"NGO Transmission, Inc.","Muskie","Muskingum, OH","DGF",0.92,0.35
"161",-81.1409322,41.7603259,"NGO Transmission, Inc.","Perry","Perry, OH","DGF",2.8,1.08
"162",-81.9534815,39.9478393,"NGO Transmission, Inc.","Zane","Muskingum, OH","DGF",2.15,1.16
"163",-93.2413191,41.2249966,"Northern Natural Gas Company","Redfield Mt. Simon & St. Peter","Dallas, IA","Aquifer",133.75,43.2
"164",-98.7375911,37.6439071,"Northern Natural Gas Company","Cunningham","Pratt, KS","DGF",62,40.92
"165",-97.5555928,39.5722226,"Northern Natural Gas Company","Lyons","Rice, KS","DGF",24,8
"168",-89.2847251,31.2148677,"Petal Gas Storage, LLC","Petal","Forrest, MS","SC",25.43,16.01
"169",-91.4048249,30.2899179,"PetroLogistics Natural Gas Storage, LLC","PetroLogistics","Iberville, LA","SC",12.51,8.05
"170",-92.584277,30.2577813,"Pine Prairie Energy Center","Pine Prairie","Evangeline, LA","SC",29.36,23.86
"171",-122.4554639,46.6195461,"Puget Sound Energy, Inc.","Jackson Prairie","Lewis, WA","Aquifer",41.31,23.99
"172",-112.9363354,37.801087,"Questar Pipeline Company","Chalk Creek","Summit, UT","Aquifer",1.98,0.26
"173",-109.5211063,40.9053845,"Questar Pipeline Company","Clay Basin","Duggett, UT","DGF",117.5,51.2
"174",-112.9363354,37.801087,"Questar Pipeline Company","Coalville","Summit, UT","Aquifer",10,0.69
"175",-110.6168921,41.2107397,"Questar Pipeline Company","LeRoy","Unita, WY","Aquifer",10,0.84
"176",-110.6168921,41.2107397,"Ryckman Creek Resources, LLC","Nugget Field","Unita, WY","DGF",20,10
"177",-81.5596427,36.8687921,"Saltville Gas Storage Company","Saltville","Smyth, VA","SC",9.5,5.4
"178",-92.2329655,31.9037122,"SG Resources","Southern Pines ","Greene, LA","SC",20.5,16.24
"179",-88.556531,33.8773585,"Southern Natural Gas Company","Muldon","Monroe, MS","DGF",92.82,31
"180",-97.5555928,39.5722226,"Southern Star Central Pipeline, Inc.","Alden","Rice, KS","DGF",14.7,4.2
"181",-95.3102505,38.2809328,"Southern Star Central Pipeline, Inc.","Colony","Anderson, KS","DGF",12.7,4.6
"182",-96.1526985,37.3936365,"Southern Star Central Pipeline, Inc.","Elk City","Elk, KS","DGF",33.3,11.8
"183",-94.9224637,39.3111112,"Southern Star Central Pipeline, Inc.","McLouth","Leavenworth, KS","DGF",14.1,2.2
"184",-95.8142885,37.9197853,"Southern Star Central Pipeline, Inc.","Piqua","Woodson, KS","DGF",3.2,0.3
"185",-95.3102505,38.2809328,"Southern Star Central Pipeline, Inc.","Welda North","Anderson, KS","DGF",13.3,4.4
"186",-95.3102505,38.2809328,"Southern Star Central Pipeline, Inc.","Welda South","Anderson, KS","DGF",18.3,6.7
"187",-95.5138162,33.9430894,"Southern Star Central Pipeline, Inc.","Webb","Grant, OK","DGF",42.4,12.5
"188",-90.2244662,39.7341219,"Southwest Gas Storage Company","Waverly","Morgan, IL","Aquifer",51.1,4.48
"189",-100.3401456,37.2855796,"Southwest Gas Storage Company","Borcher North","Meade, KS","DGF",63.37,28.29
"190",-83.8473015,42.6207951,"Southwest Gas Storage Company","Howell","Livingston, MI","DGF",31.1,17.69
"191",-98.7481167,36.7181862,"Southwest Gas Storage Company","North Hopeton","Woods, OK","DGF",18.1,3.5
"193",-78.5039069,40.0186921,"Steckman Ridge, LP","Steckman Ridge","Bedford, PA","DGF",17.7,12
"194",-75.2829465,43.3200694,"Steuben Gas Storage Company","Adrian","Steuben, NY","DGF",9,6.2
